Year,Week,Team,Wins
2019,1,Minnesota Golden Gophers,10.838965999374098
2019,1,Mississippi State Bulldogs,21.17888733763358
2019,1,Missouri Tigers,13.212905888333497
2019,1,Navy Midshipmen,12.997423212671842
2019,1,North Carolina State Wolfpack,11.71745440268396
2019,1,Nebraska Cornhuskers,18.897066883723948
2019,1,Nevada Wolf Pack,9.083212417394414
2019,1,New Mexico Lobos,9.441224666321009
2019,1,New Mexico State Aggies,4.954721504049639
2019,1,North Carolina Tar Heels,10.77339596303797
2019,1,North Texas Mean Green,10.319102311136175
2019,1,Northern Illinois Huskies,8.015628331375197
2019,1,Northwestern Wildcats,8.101600409963494
2019,1,Notre Dame Fighting Irish,11.504049160649936
2019,1,Ohio Bobcats,11.806385712770721
2019,1,Ohio State Buckeyes,12.910833941824126
2019,1,Oklahoma Sooners,13.537692692251095
2019,1,Oklahoma State Cowboys,12.290987161169195
2019,1,Old Dominion Monarchs,7.87668263758121
2019,1,Mississippi Rebels,9.235371706758709
2019,1,Oregon Ducks,13.285548504473754
2019,1,Oregon State Beavers,5.313955897603896
2019,1,Penn State Nittany Lions,15.510647536271957
2019,1,Pittsburgh Panthers,10.043053907778667
2019,1,Purdue Boilermakers,14.632060052988587
2019,1,Rice Owls,4.459755615035663
2019,1,Rutgers Scarlet Knights,5.609809400524039
2019,1,San Diego State Aztecs,11.171852796244659
2019,1,San Jose State Spartans,7.216513567375082
2019,1,Southern Methodist Mustangs,9.767251404870857
2019,1,South Alabama Jaguars,3.211106966811343
2019,1,South Carolina Gamecocks,11.250546973598214
2019,1,South Florida Bulls,10.442611015834126
2019,1,Southern Miss Golden Eagles,12.90308812557606
2019,1,Stanford Cardinal,9.558753043342952
2019,1,Syracuse Orange,7.236734516602586
2019,1,Texas Christian Horned Frogs,12.236170980898507
2019,1,Temple Owls,10.724903939408353
2019,1,Tennessee Volunteers,10.954134722970103
2019,1,Texas Longhorns,12.396365796025986
2019,1,Texas A&M Aggies,14.31404195395142
2019,1,Texas State Bobcats,7.6339126771249095
2019,1,Texas Tech Red Raiders,14.666033324967854
2019,1,Toledo Rockets,13.828702464974416
2019,1,Troy Trojans,8.448831951947541
2019,1,Tulane Green Wave,7.720751265065709
2019,1,Tulsa Golden Hurricane,8.946649800081307
2019,1,Alabama-Birmingham Blazers,10.457418209190484
2019,1,UCLA Bruins,11.49630561411224
2019,1,Connecticut Huskies,5.028794882971057
2019,1,Louisiana-Monroe Warhawks,5.759511170859169
2019,1,Massachusetts Minutemen,7.662461311886889
2019,1,UNLV Rebels,6.313397779494385
2019,1,Southern California Trojans,11.878961422322112
2019,1,Utah Utes,16.948017720556063
2019,1,Utah State Aggies,10.06541770695758
2019,1,Texas-El Paso Miners,5.967540213919004
2019,1,Texas-San Antonio Roadrunners,0.9055665495687397
2019,1,Vanderbilt Commodores,10.626174075644652
2019,1,Virginia Cavaliers,11.682114188808695
2019,1,Virginia Tech Hokies,13.939712484373507
2019,1,Wake Forest Demon Deacons,11.2086531234353
2019,1,Washington Huskies,17.251416016676863
2019,1,Washington State Cougars,12.356295475761891
2019,1,West Virginia Mountaineers,10.386776961091739
2019,1,Western Kentucky Hilltoppers,8.672305833653837
2019,1,Western Michigan Broncos,9.634283813365156
2019,1,Wisconsin Badgers,13.59824333902638
2019,1,Wyoming Cowboys,8.052298107528243
2019,2,Air Force Falcons,12.379342251523328
2019,2,Akron Zips,4.836793564085988
2019,2,Alabama Crimson Tide,19.165778715791536
2019,2,Appalachian State Mountaineers,13.133271726396337
2019,2,Arizona Wildcats,12.517316612295515
2019,2,Arizona State Sun Devils,12.525188764122992
2019,2,Arkansas Razorbacks,10.224183884848042
2019,2,Arkansas State Red Wolves,11.294753013079177
2019,2,Army Black Knights,11.714295893217532
2019,2,Auburn Tigers,17.7466283822105
2019,2,Ball State Cardinals,6.242644476637483
2019,2,Baylor Bears,7.947228065781038
2019,2,Boise State Broncos,15.525833656563552
2019,2,Boston College Eagles,11.622014382458119
2019,2,Bowling Green State Falcons,4.122322450961068
2019,2,Buffalo Bulls,6.6206228162728795
2019,2,Brigham Young Cougars,12.634354118317038
2019,2,California Golden Bears,8.276254239774554
2019,2,Central Florida Knights,11.56382059072776
2019,2,Central Michigan Chippewas,7.076015456507574
2019,2,North Carolina-Charlotte 49ers,5.7084942619838
2019,2,Cincinnati Bearcats,8.799902733439756
2019,2,Clemson Tigers,18.83509425362971
2019,2,Coastal Carolina Chanticleers,7.294861520199468
2019,2,Colorado Buffaloes,8.029407385489275
2019,2,Colorado State Rams,5.393101726627568
2019,2,Duke Blue Devils,10.037192333673143
2019,2,East Carolina Pirates,5.014091633270491
2019,2,Eastern Michigan Eagles,10.171875593035857
2019,2,Florida Atlantic Owls,15.357545699984248
2019,2,Florida International Golden Panthers,9.849392827397791
2019,2,Florida Gators,15.677486530021259
2019,2,Florida State Seminoles,10.266445778181915
2019,2,Fresno State Bulldogs,13.765974663656705
2019,2,Georgia Bulldogs,20.168967179717736
2019,2,Georgia Southern Eagles,8.613920004815991
2019,2,Georgia State Panthers,9.559933176402206
2019,2,Georgia Tech Yellow Jackets,7.552991731125264
2019,2,Hawaii Warriors,5.674345895754459
2019,2,Houston Cougars,12.381716929010217
2019,2,Illinois Fighting Illini,3.5780591107602935
2019,2,Indiana Hoosiers,9.673206359593177
2019,2,Iowa Hawkeyes,12.692252257585464
2019,2,Iowa State Cyclones,11.330161058643059
2019,2,Kansas Jayhawks,7.48616135621301
2019,2,Kansas State Wildcats,8.629813786947716
2019,2,Kent State Golden Flashes,8.590627263916453
2019,2,Kentucky Wildcats,9.269560375443906
2019,2,Louisiana-Lafayette Ragin Cajuns,8.397105632030478
2019,2,Louisiana Tech Bulldogs,9.439679616312787
2019,2,Louisville Cardinals,6.314252799282702
2019,2,Louisiana State Tigers,14.755914854325292
2019,2,Marshall Thundering Herd,7.790835182677804
2019,2,Maryland Terrapins,8.824826837003641
2019,2,Memphis Tigers,15.30565279000103
2019,2,Miami-Florida Hurricanes,18.279647330205677
2019,2,Miami-Ohio Redhawks,11.122786150077372
2019,2,Michigan Wolverines,15.85985830818451
2019,2,Michigan State Spartans,12.620774371655797
2019,2,Middle Tennessee State Blue Raiders,8.710138015429045
2019,2,Minnesota Golden Gophers,9.645222803080024
2019,2,Mississippi State Bulldogs,20.076685738258824
2019,2,Missouri Tigers,13.440003120269512
2019,2,Navy Midshipmen,11.921281910548027
2019,2,North Carolina State Wolfpack,11.434653112200925
2019,2,Nebraska Cornhuskers,17.17762110146128
2019,2,Nevada Wolf Pack,9.142006634743076
2019,2,New Mexico Lobos,8.518692717763525
2019,2,New Mexico State Aggies,4.85270199552349
2019,2,North Carolina Tar Heels,10.593963907777878
2019,2,North Texas Mean Green,9.250605069559517
2019,2,Northern Illinois Huskies,7.314346425153899
2019,2,Northwestern Wildcats,8.041241848910198
2019,2,Notre Dame Fighting Irish,10.044034478725427
2019,2,Ohio Bobcats,10.573804062319203
2019,2,Ohio State Buckeyes,12.386122386764209
2019,2,Oklahoma Sooners,13.68451798398231
2019,2,Oklahoma State Cowboys,11.829829302247486
2019,2,Old Dominion Monarchs,6.7950894919552125
2019,2,Mississippi Rebels,9.671645343689514
2019,2,Oregon Ducks,14.168073337970732
2019,2,Oregon State Beavers,5.334260308312544
2019,2,Penn State Nittany Lions,14.410570310586234
2019,2,Pittsburgh Panthers,9.850334734110929
2019,2,Purdue Boilermakers,14.229946358825929
2019,2,Rice Owls,4.69670687902739
2019,2,Rutgers Scarlet Knights,5.372511534425151
2019,2,San Diego State Aztecs,9.967826701802336
2019,2,San Jose State Spartans,6.486932708267907
2019,2,Southern Methodist Mustangs,9.536296669041354
2019,2,South Alabama Jaguars,3.577712950545486
2019,2,South Carolina Gamecocks,11.09630642298843
2019,2,South Florida Bulls,10.077674291625703
2019,2,Southern Miss Golden Eagles,11.6592210201607
2019,2,Stanford Cardinal,8.938870301655596
2019,2,Syracuse Orange,6.8005949398047925
2019,2,Texas Christian Horned Frogs,10.65842780453312
2019,2,Temple Owls,9.680380605306414
2019,2,Tennessee Volunteers,10.480654282901021
2019,2,Texas Longhorns,11.69831530446066
2019,2,Texas A&M Aggies,13.648343097863776
2019,2,Texas State Bobcats,7.907587358166943
2019,2,Texas Tech Red Raiders,13.297119291271487
2019,2,Toledo Rockets,14.321713812267406
2019,2,Troy Trojans,7.499103353464977
2019,2,Tulane Green Wave,7.562986387248373
2019,2,Tulsa Golden Hurricane,9.607877263148199
2019,2,Alabama-Birmingham Blazers,8.946599804596682
2019,2,UCLA Bruins,11.465515178211854
2019,2,Connecticut Huskies,4.223977125496111
2019,2,Louisiana-Monroe Warhawks,5.100745132506856
2019,2,Massachusetts Minutemen,7.431733695818397
2019,2,UNLV Rebels,5.796666175329925
2019,2,Southern California Trojans,11.329967108337284
2019,2,Utah Utes,17.437169408225532
2019,2,Utah State Aggies,10.49781683064518
2019,2,Texas-El Paso Miners,5.168897713038035
2019,2,Texas-San Antonio Roadrunners,1.0644816018247778
2019,2,Vanderbilt Commodores,10.74875391772995
2019,2,Virginia Cavaliers,11.46216177118752
2019,2,Virginia Tech Hokies,14.001731428336587
2019,2,Wake Forest Demon Deacons,10.718650649640308
2019,2,Washington Huskies,15.667384905230156
2019,2,Washington State Cougars,12.169434723827033
2019,2,West Virginia Mountaineers,9.348099264982565
2019,2,Western Kentucky Hilltoppers,7.580921671693135
2019,2,Western Michigan Broncos,8.812809822558405
2019,2,Wisconsin Badgers,13.701594414046449
2019,2,Wyoming Cowboys,8.64214682104054
2019,3,Air Force Falcons,11.003859779131846
2019,3,Akron Zips,4.941124271704031
2019,3,Alabama Crimson Tide,19.322397614058552
2019,3,Appalachian State Mountaineers,11.384562215752194
2019,3,Arizona Wildcats,13.152828801553602
2019,3,Arizona State Sun Devils,9.96093616270145
2019,3,Arkansas Razorbacks,11.213485245931711
2019,3,Arkansas State Red Wolves,8.750474114116294
2019,3,Army Black Knights,12.57380445438378
2019,3,Auburn Tigers,17.6490165037078
2019,3,Ball State Cardinals,4.47552911929053
2019,3,Baylor Bears,7.377636464453472
2019,3,Boise State Broncos,12.737185468556172
2019,3,Boston College Eagles,9.24091265169145
2019,3,Bowling Green State Falcons,3.966661303108976
2019,3,Buffalo Bulls,6.246506640905335
2019,3,Brigham Young Cougars,13.338734805108993
2019,3,California Golden Bears,9.958608814260687
2019,3,Central Florida Knights,10.112471161208164
2019,3,Central Michigan Chippewas,6.705505802609906
2019,3,North Carolina-Charlotte 49ers,5.182893257510966
2019,3,Cincinnati Bearcats,7.442968881208463
2019,3,Clemson Tigers,17.89967800612863
2019,3,Coastal Carolina Chanticleers,5.79272184412014
2019,3,Colorado Buffaloes,8.380218451077765
2019,3,Colorado State Rams,3.926340511221291
2019,3,Duke Blue Devils,10.535671042767143
2019,3,East Carolina Pirates,3.519012077659507
2019,3,Eastern Michigan Eagles,8.578803919316478
2019,3,Florida Atlantic Owls,12.254179015537787
2019,3,Florida International Golden Panthers,7.619342630635177
2019,3,Florida Gators,14.962536980119976
2019,3,Florida State Seminoles,7.812195659194394
2019,3,Fresno State Bulldogs,10.497893257507421
2019,3,Georgia Bulldogs,18.843997916370068
2019,3,Georgia Southern Eagles,6.468647923358642
2019,3,Georgia State Panthers,7.891359900552163
2019,3,Georgia Tech Yellow Jackets,5.84940604710661
2019,3,Hawaii Warriors,5.7794966226579145
2019,3,Houston Cougars,12.96894138512539
2019,3,Illinois Fighting Illini,3.5024503182672033
2019,3,Indiana Hoosiers,9.515193455527198
2019,3,Iowa Hawkeyes,12.952934962533927
2019,3,Iowa State Cyclones,10.071254274349387
2019,3,Kansas Jayhawks,6.499812975429327
2019,3,Kansas State Wildcats,7.338255933225556
2019,3,Kent State Golden Flashes,6.612892290031327
2019,3,Kentucky Wildcats,8.963827547673967
2019,3,Louisiana-Lafayette Ragin Cajuns,6.382134615075777
2019,3,Louisiana Tech Bulldogs,7.084496368839969
2019,3,Louisville Cardinals,7.9100233614048525
2019,3,Louisiana State Tigers,14.89224955256872
2019,3,Marshall Thundering Herd,7.007823114534587
2019,3,Maryland Terrapins,10.30663626899692
2019,3,Memphis Tigers,15.428855687969993
2019,3,Miami-Florida Hurricanes,14.25500386052892
2019,3,Miami-Ohio Redhawks,8.0332892894663
2019,3,Michigan Wolverines,15.524796142175273
2019,3,Michigan State Spartans,9.667503046327882
2019,3,Middle Tennessee State Blue Raiders,6.351593306686852
2019,3,Minnesota Golden Gophers,8.534474812922097
2019,3,Mississippi State Bulldogs,16.581437555854063
2019,3,Missouri Tigers,14.385618963539391
2019,3,Navy Midshipmen,10.596695031598246
2019,3,North Carolina State Wolfpack,9.005928296678428
2019,3,Nebraska Cornhuskers,18.289037994981083
2019,3,Nevada Wolf Pack,8.60250669196504
2019,3,New Mexico Lobos,7.572171304678691
2019,3,New Mexico State Aggies,4.402023131024897
2019,3,North Carolina Tar Heels,8.889766330219228
2019,3,North Texas Mean Green,8.260702146755317
2019,3,Northern Illinois Huskies,6.794525243828621
2019,3,Northwestern Wildcats,6.43450386204594
2019,3,Notre Dame Fighting Irish,43.492087798940844
2019,3,Ohio Bobcats,9.329679505384476
2019,3,Ohio State Buckeyes,10.091255515916517
2019,3,Oklahoma Sooners,14.067960251795151
2019,3,Oklahoma State Cowboys,9.30561566730588
2019,3,Old Dominion Monarchs,6.371017193174392
2019,3,Mississippi Rebels,9.727258661866042
2019,3,Oregon Ducks,14.932688017132431
2019,3,Oregon State Beavers,4.315277289957486
2019,3,Penn State Nittany Lions,12.388802727249631
2019,3,Pittsburgh Panthers,7.770957967177097
2019,3,Purdue Boilermakers,13.60156515196292
2019,3,Rice Owls,4.673168109796525
2019,3,Rutgers Scarlet Knights,5.415946152280429
2019,3,San Diego State Aztecs,8.956780195844141
2019,3,San Jose State Spartans,5.857792212509861
2019,3,Southern Methodist Mustangs,9.429169234558508
2019,3,South Alabama Jaguars,2.5031257722191165
2019,3,South Carolina Gamecocks,8.260244966750086
2019,3,South Florida Bulls,7.920149444004789
2019,3,Southern Miss Golden Eagles,10.552467526308162
2019,3,Stanford Cardinal,9.276177211874069
2019,3,Syracuse Orange,6.487688522777023
2019,3,Texas Christian Horned Frogs,9.474158048473885
2019,3,Temple Owls,8.60478276027237
2019,3,Tennessee Volunteers,8.251023440544996
2019,3,Texas Longhorns,12.732932159264543
2019,3,Texas A&M Aggies,11.700932429500124
2019,3,Texas State Bobcats,6.1889761250599395
2019,3,Texas Tech Red Raiders,11.352088880034184
2019,3,Toledo Rockets,11.017231391400733
2019,3,Troy Trojans,6.665869647524424
2019,3,Tulane Green Wave,8.326362136518364
2019,3,Tulsa Golden Hurricane,10.425424821105103
2019,3,Alabama-Birmingham Blazers,9.34745149485407
2019,3,UCLA Bruins,11.264485622817366
2019,3,Connecticut Huskies,5.25561778538166
2019,3,Louisiana-Monroe Warhawks,4.816179849506412
2019,3,Massachusetts Minutemen,6.864506924569823
2019,3,UNLV Rebels,4.852962943339076
2019,3,Southern California Trojans,11.89571525050841
2019,3,Utah Utes,17.63165859313517
2019,3,Utah State Aggies,7.703605378907065
2019,3,Texas-El Paso Miners,4.594575744922698
2019,3,Texas-San Antonio Roadrunners,1.2458715826585556
2019,3,Vanderbilt Commodores,10.296517090985018
2019,3,Virginia Cavaliers,11.07391424572836
2019,3,Virginia Tech Hokies,10.61222261832625
2019,3,Wake Forest Demon Deacons,8.67936518784821
2019,3,Washington Huskies,18.648294221902514
2019,3,Washington State Cougars,9.551781607039034
2019,3,West Virginia Mountaineers,8.497558038245323
2019,3,Western Kentucky Hilltoppers,6.829681670267551
2019,3,Western Michigan Broncos,8.013868274692884
2019,3,Wisconsin Badgers,13.59734497248687
2019,3,Wyoming Cowboys,8.882861266802175
