Year,Week,Team,Wins
2019,1,Air Force Falcons,13.481491390581471
2019,1,Akron Zips,4.963204879117508
2019,1,Alabama Crimson Tide,18.88202512520399
2019,1,Appalachian State Mountaineers,14.72843579478468
2019,1,Arizona Wildcats,12.085610072068397
2019,1,Arizona State Sun Devils,13.03906843952656
2019,1,Arkansas Razorbacks,11.762362712204837
2019,1,Arkansas State Red Wolves,11.098190521927583
2019,1,Army Black Knights,12.840898297408716
2019,1,Auburn Tigers,17.755468867012667
2019,1,Ball State Cardinals,5.912846050505131
2019,1,Baylor Bears,8.911876776036596
2019,1,Boise State Broncos,15.962213780458313
2019,1,Boston College Eagles,11.924124212833314
2019,1,Bowling Green State Falcons,4.293102332814784
2019,1,Buffalo Bulls,7.546886864923542
2019,1,Brigham Young Cougars,12.24121786765249
2019,1,California Golden Bears,9.219183671169713
2019,1,Central Florida Knights,12.571222086929248
2019,1,Central Michigan Chippewas,7.809522004815179
2019,1,North Carolina-Charlotte 49ers,6.5105801412262325
2019,1,Cincinnati Bearcats,8.97577034951343
2019,1,Clemson Tigers,19.709421954870916
2019,1,Coastal Carolina Chanticleers,7.159916200660176
2019,1,Colorado Buffaloes,8.19433171497996
2019,1,Colorado State Rams,5.235675991231037
2019,1,Duke Blue Devils,9.694161590150348
2019,1,East Carolina Pirates,5.086733492807905
2019,1,Eastern Michigan Eagles,10.46947017053729
2019,1,Florida Atlantic Owls,15.020676244578658
2019,1,Florida International Golden Panthers,9.973314211091807
2019,1,Florida Gators,16.44564134269502
2019,1,Florida State Seminoles,10.410174372745495
2019,1,Fresno State Bulldogs,12.992502380868244
2019,1,Georgia Bulldogs,21.418896598964675
2019,1,Georgia Southern Eagles,8.590764067681878
2019,1,Georgia State Panthers,9.417449712291509
2019,1,Georgia Tech Yellow Jackets,7.409528531605855
2019,1,Hawaii Warriors,5.236906815849465
2019,1,Houston Cougars,11.465688720161078
2019,1,Illinois Fighting Illini,3.371837329346665
2019,1,Indiana Hoosiers,10.21013256633332
2019,1,Iowa Hawkeyes,13.133258208872942
2019,1,Iowa State Cyclones,12.934252811291165
2019,1,Kansas Jayhawks,8.40650286557951
2019,1,Kansas State Wildcats,9.380750951014704
2019,1,Kent State Golden Flashes,8.288728470347873
2019,1,Kentucky Wildcats,9.59300846377219
2019,1,Louisiana-Lafayette Ragin Cajuns,8.067714345819654
2019,1,Louisiana Tech Bulldogs,9.447383443115369
2019,1,Louisville Cardinals,6.642386773335289
2019,1,Louisiana State Tigers,14.990971294747412
2019,1,Marshall Thundering Herd,8.730265934065502
2019,1,Maryland Terrapins,9.012816148926445
2019,1,Memphis Tigers,15.007029295556007
2019,1,Miami-Florida Hurricanes,17.851775901035168
2019,1,Miami-Ohio Redhawks,10.672393728996285
2019,1,Michigan Wolverines,16.78616535764285
2019,1,Michigan State Spartans,12.366939508382565
2019,1,Middle Tennessee State Blue Raiders,8.12221824121156
